sensor,x,y,z,t_ms
acc,0.0117,-0.027,0.8476,188.81
acc,-0.019,-0.015,0.8906,189.72
acc,-0.019,-0.015,0.8906,190.63
gyr,-5,64,3,192.53
acc,-0.035,-0.027,0.8359,193.51
acc,-0.035,-0.027,0.8359,194.43
acc,-0.031,-0.035,0.8984,195.34
acc,-0.011,-0.027,0.8671,196.25
gyr,-7,65,5,198.02
acc,-0.011,-0.039,0.8828,198.96
acc,-0.019,-0.015,0.8320,199.88
acc,-0.019,-0.015,0.9062,200.79
acc,-0.019,-0.015,0.9062,201.70
acc,-0.023,-0.039,0.9062,202.61
comp,357.88,-34.04,641.24,207.33
acc,-0.042,-0.031,0.8867,208.28
acc,-0.039,-0.050,0.8945,209.20
acc,-0.039,-0.050,0.8945,210.11
acc,-0.007,-0.027,0.8710,211.03
gyr,-8,68,1,212.91
acc,-0.039,-0.027,0.875,213.84
acc,-0.027,0.0078,0.9101,214.76
acc,-0.031,0.0039,0.8242,215.68
acc,-0.015,-0.019,0.8867,216.59
gyr,-7,65,4,218.29
acc,-0.039,-0.039,0.8867,219.23
acc,-0.019,-0.011,0.9140,220.15
acc,-0.019,-0.011,0.9140,221.06
acc,-0.027,0.0234,0.9179,221.96
acc,0.0,-0.015,0.8125,222.87
comp,357.88,-34.04,641.24,226.84
acc,-0.035,-0.031,0.8867,227.81
acc,-0.042,-0.023,0.9179,228.74
acc,-0.042,-0.023,0.9179,229.65
acc,-0.031,-0.019,0.8632,230.56
gyr,-6,66,4,232.27
acc,-0.027,-0.031,0.8828,233.20
acc,-0.031,0.0,0.9218,234.13
acc,-0.042,-0.015,0.8710,235.03
acc,-0.027,-0.070,0.9218,235.94
gyr,-7,66,5,237.66
acc,-0.035,-0.035,0.8867,238.58
acc,-0.042,-0.007,0.8632,239.51
acc,-0.042,-0.007,0.8632,240.42
acc,-0.027,-0.031,0.9296,241.33
acc,-0.019,-0.019,0.9726,242.25
comp,357.88,-34.04,641.24,246.20
acc,-0.031,-0.042,0.8789,247.30
acc,-0.042,-0.011,0.8789,248.24
acc,0.0156,-0.027,0.8789,249.16
acc,0.0156,-0.027,0.8789,250.07
gyr,-5,62,5,251.77
acc,-0.031,-0.031,0.9140,252.69
acc,-0.035,-0.027,0.875,253.61
acc,-0.042,-0.015,0.9023,254.52
acc,-0.019,-0.019,0.8906,255.43
gyr,-8,63,2,257.46
acc,-0.023,-0.035,0.8593,258.41
acc,-0.062,-0.015,0.9062,259.33
acc,-0.035,-0.027,0.9531,260.24
acc,-0.035,-0.027,0.9531,261.15
acc,-0.039,-0.039,0.8867,262.06
comp,358.8,-34.04,642.16,265.66
acc,-0.031,-0.042,0.875,266.60
acc,-0.046,0.0078,0.9062,267.53
acc,-0.046,0.0078,0.9062,268.44
acc,-0.062,-0.042,0.8554,269.35
gyr,-7,62,6,271.23
acc,-0.031,-0.039,0.875,272.17
acc,-0.042,-0.039,0.8984,273.09
acc,-0.023,0.0273,0.8242,274.00
acc,-0.011,0.0078,0.8828,274.92
gyr,-4,63,2,276.62
acc,-0.035,-0.027,0.8867,277.54
acc,-0.015,-0.023,0.8867,278.47
acc,-0.015,-0.023,0.8867,279.38
acc,-0.023,-0.031,0.9140,280.28
acc,-0.023,-0.042,0.8945,281.19
comp,358.8,-34.04,642.16,284.97
acc,-0.035,-0.035,0.8671,285.91
acc,0.0,-0.015,0.8984,286.84
acc,0.0,-0.015,0.8984,287.77
acc,-0.050,-0.007,0.9062,288.69
gyr,-8,64,7,290.74
acc,-0.042,0.0078,0.8945,291.68
acc,-0.042,0.0078,0.8945,292.61
acc,-0.031,-0.023,0.8867,293.53
acc,-0.015,-0.011,0.875,294.44
gyr,-7,60,10,296.14
acc,-0.031,-0.019,0.8867,297.07
acc,-0.078,-0.027,0.8828,297.99
acc,-0.070,-0.035,0.8789,298.90
acc,-0.070,-0.035,0.8789,299.81
acc,-0.035,-0.027,0.8554,300.71
comp,358.8,-34.04,642.16,304.09
acc,-0.039,-0.054,0.8828,305.11
acc,-0.039,-0.054,0.8828,306.05
acc,-0.007,-0.054,0.8828,306.96
acc,-0.035,-0.042,0.8828,307.88
gyr,-8,64,2,309.57
acc,-0.035,-0.027,0.8828,310.50
acc,-0.046,-0.054,0.9023,311.42
acc,-0.023,-0.019,0.8828,312.33
acc,-0.023,-0.019,0.8828,313.24
gyr,-5,65,6,315.73
acc,-0.027,-0.035,0.8945,316.68
acc,-0.023,-0.031,0.7890,317.62
acc,0.0078,-0.011,0.8906,318.57
acc,0.0078,-0.011,0.8906,319.50
acc,-0.046,-0.027,0.8945,320.42
comp,356.04,-33.12,641.24,323.81
acc,-0.027,-0.042,0.8867,324.74
acc,-0.031,-0.027,0.8828,325.65
acc,-0.031,-0.027,0.8828,326.56
acc,-0.027,-0.027,0.8867,327.47
gyr,-9,65,2,329.56
acc,-0.031,-0.042,0.8632,330.53
acc,-0.031,-0.042,0.8632,331.45
acc,-0.031,-0.027,0.8906,332.36
acc,-0.011,-0.019,0.8867,333.27
gyr,-4,64,3,334.99
acc,-0.031,-0.035,0.8710,335.91
acc,-0.035,-0.046,0.875,336.82
acc,-0.039,-0.082,0.9335,337.74
acc,-0.039,-0.082,0.9335,338.65
acc,-0.078,-0.007,0.8945,339.56
comp,356.04,-33.12,641.24,342.94
acc,-0.042,-0.035,0.8593,343.86
acc,-0.042,-0.035,0.8593,344.77
acc,-0.015,0.0039,0.8632,345.68
acc,-0.031,-0.066,0.8710,346.59
gyr,-8,63,1,348.80
acc,-0.039,-0.027,0.8867,349.75
acc,-0.039,-0.042,0.8828,350.67
acc,-0.031,-0.027,0.9335,351.58
acc,-0.031,-0.027,0.9492,352.49
gyr,-9,63,1,354.36
acc,-0.039,-0.031,0.8789,355.29
acc,-0.046,0.0039,0.9101,356.21
acc,-0.046,0.0039,0.9101,357.12
acc,-0.031,-0.023,0.8398,358.03
acc,0.0,-0.019,0.8945,358.94
comp,356.04,-33.12,641.24,362.32
acc,-0.042,-0.042,0.9101,363.24
acc,-0.042,-0.042,0.9101,364.17
acc,-0.011,0.0117,0.8437,365.08
acc,-0.011,-0.070,0.8554,365.99
gyr,-7,65,5,367.74
acc,-0.042,-0.035,0.8867,368.76
acc,-0.031,-0.042,0.8828,369.70
acc,-0.113,-0.078,0.8828,370.63
acc,-0.113,-0.078,0.8828,371.54
gyr,-5,63,3,373.24
acc,-0.050,-0.035,0.8710,374.17
acc,-0.050,-0.035,0.8710,375.09
acc,-0.031,-0.015,0.8398,376.01
acc,-0.035,0.0,0.8789,376.92
acc,-0.035,0.0312,0.8828,377.83
comp,356.04,-33.12,641.24,381.22
acc,-0.027,-0.035,0.8710,382.15
acc,0.0078,-0.062,0.8789,383.07
acc,-0.066,-0.023,0.8906,383.99
acc,-0.066,-0.023,0.8906,384.89
gyr,-9,64,6,386.58
acc,-0.042,-0.050,0.9179,387.51
acc,-0.042,-0.050,0.9179,388.43
acc,-0.042,-0.015,0.8789,389.34
acc,-0.015,-0.027,0.8984,390.25
gyr,-5,62,4,393.00
acc,-0.019,-0.031,0.8828,394.02
acc,-0.027,-0.085,0.8906,408.01
acc,-0.027,-0.042,0.8671,408.99
acc,-0.042,-0.019,0.875,409.92
acc,-0.031,-0.027,0.875,410.84
comp,359.72,-34.96,644.0,414.46
acc,-0.027,-0.019,0.8906,415.41
acc,-0.027,-0.019,0.8906,416.36
acc,-0.039,-0.011,0.9570,417.28
acc,-0.027,-0.007,0.8828,418.19
gyr,-4,63,3,419.90
acc,-0.019,-0.031,0.8867,420.83
acc,-0.035,-0.035,0.9453,421.75
acc,-0.046,-0.027,0.9101,422.66
acc,-0.046,-0.027,0.9101,423.57
